definition,title
"acronym for ""Just Riding Along,"" a phrase universally uttered by people bringing both halves of their frame and the remains of their fork in for warrantee replacement.",JRA 
"where we now say bunny hop, BMXers used to say ""jump"".",JUMP
"an injury to the shin received while doing trials, a kack can be the result of any injury receive during technical riding.",KACK
a bunny hop in which the rider pushes the back tire to one side.,KICK-OUT
the all-terrain tires that are used on mountain bikes. ,KNOBBY TIRES
acronym for Local Bike Shop.,LBS
helmet.,LID
the desirable path or strategy to take on a tricky trail section.,LINE
"when a male rider watches a beautiful female ride over rough terrain and stares intensely at all the jiggling parts, making him too dizzy to see straight when it's his turn to ride the same terrain.",MALE BLINDNESS
"how one's jaw feels when it and the handle bars attempt to occupy the same space and time. ""Fuck!"" ""Pray, whats wrong?"" ""I've got mandibular disharmony.""",MANDIBULAR DISHARMONY 
"hole covered with autumn leaves, resembling solid earth and effective at eating the front wheel of the unsuspecting rider.",MANTRAP
(muh RINN') the county in Northern California where MTBing is said to have been invented. Just north of the Golden Gate Bridge.,MARIN
"momentum. ""If you don't get in gear at the bottom of that hill, you'll lose your mo.""",MO
charm or icon worn by a biker or attached to the bike.,MOJO
magazine writer speak for a full-suspension bike.,MONKEY-MOTION
"what happens when a bike slows abruptly in mud, throwing the rider into wet goo.",MUD DIVING
1) a shower after a ride on a muddy trail. 2) the act of becoming clean.,MUD-ECTOMY
rod shaped rollers that allow a sleeve to slide over them. They are usually arranged in a cartridge.,NEEDLE BEARINGS
a nut that is designed to both fit on the end of a spoke and through the spoke hole on the rim. ,NIPPLE
(National Off-Road Bicycle Association) - USA Cycling's mountain bike racing division. ,NORBA
a reverse wheelie riding tequnique in which the rider elevates the rear wheel while still rolling on the front tire.,NOSE WHEELIE
sloped ground that makes handling difficult.,OFF-CAMBER
a tire flat that is caused when the tube is pinched against the rim internally. ,PINCH FLAT
an adjustment on the spring in a suspension fork or shock that allows you to set the suspension compression. ,PRELOAD
the narrow valve found on most mountain bike inner tubes. A metal cap must be unscrewed before air can enter or exit. ,PRESTA VALVE
NORBA's top racing category. ,PRO
the tire inflation measurement. It stands for pounds per square inch. ,PSI
mountain bike shifters made by Shimano.,RAPIDFIRE SHIFTER
a riding technique in which you pedal in partial strokes in order to clear obsticals. ,RATCHET
the distance from the end of the stem to the other end of the top tube. ,REACH
"the rear portion of the mountain bike that is made up of the seatstays, the chainstays and the seat tube.",REAR TRIANGLE
the muffling of the return rate of a spring.,REBOUND DAMPING
the outside ring of the wheel assembly. ,RIM
a stationary training device that allows you to train on your bike indoors. ,ROLLERS
the platform that the rider sits on. ,SADDLE
the type of valve used on most cars and trucks. They are found on less expensive bicycle tubes and are spring-loaded to release air or let it in. ,SCHRADER VALVE
a bearing cluster that has been sealed with a dust cap of some kind to keep out dirt. ,SEALED BEARING
"the point on the frame where the seat tube, top tube and seat stays intersect. ",SEAT CLUSTER
the post that the saddle attaches to. ,SEATPOST
the post that the saddle attaches to. ,SEMI-PRO
Negotiating trails with sufficient speed and elan to evoke awe in fellow riders or onlookers.  Doing it with a higher-than-usual level of expertise.,SHRED
a narrow mountain bike trail that must be ridden single file. ,SINGLETRACK
the quick release axle clamp of a wheelset. ,SKEWER
"same as a pinch flat, but has two holes.  (same causative mechanism)",SNAKEBITE
the right side of the crankset that the chainrings attach to. ,SPIDER
the thin rods of the wheelset. ,SPOKE
the NORBA race catagory between beginner and expert.,SPORT
Another word used for CRASH on a bike.,STACK
"the distance between the top tube and the rider's crotch. 
",STANDOVER CLEARANCE
the swinging rear end of a dual suspension frame.,SWINGARM
a turn on a hill that is too steep to be climbed without zig-zagging.,SWITCHBACK
"a state of mind experienced while riding. You don't think, you just do. A truly mystical experience that can't be fully explained, but when you get there you'll know it and strive to reach it again.",THE ZONE
the tube connecting the head tube to the seat tube. ,TOP TUBE
a riding technique that involves the rider stopping completely without putting a foot down. ,TRACKSTAND
the distance a suspension fork or a shock can compress. ,TRAVEL
having three chainrings on a crankset. ,TRIPLE
an indexing shifter that twists around the handlebar. ,TWIST SHIFTER
"describing a bike or accessory made from expensive, high-tech material. A play on ""unobtainable"" and ""titanium."" n. a piece (of god knows what) that has come off from the inside of something else and rattles around, impossible to retrieve to stop the rattling. E.g. a piece of weld comes off of the inside of a bike frame.",UNOBTANIUM 
to shift into a higher gear. ,UPSHIFT
"a singletrack that is heavily overgrown with foliage, so a rider must duck and bend to get through it.",VEGETABLE TUNNEL
"1) to empty the contents of one's bladder. ""Where were you, man? We waited for at least two minutes."" ""Sorry, dude, I had to void, my back teeth were floating."" 2) a deep chasm that you have to clear or you will die.",VOID 
"Velo Tout-Terrain, the French term for mountain biking. Velo = bike, Tout = all, and don't even ask me about terrain. :-)",VTT
spectators who line up at dangerous obstacles in hopes of seeing blood. ,VULTURES
what you might get when your stem has no nard guard.,WANG CHUNG
"to have the front tire lose traction, especially while going around a corner.",WASH OUT
"small, regular undulations of the soil surface that make for a very rough ride.",WASHBOARD
a MTB owner (not even necessarily a rider) who is more concerned with how many milligrams a certain component saves off the bike's total weight than with how to be a better rider.,WEIGHT-WEENIE
"lifting the front wheel off the ground, usually with some combination of pulling on the handlebars, pedaling harder, and balance.",WHEELIE
"a combo of a wheelie and a jump, used to negotiate a large drop with little speed due to a limited run-out.",WHEELIE DROP
"a series of up-and-down bumps, suitable for jumping.",WHOOP-DE-DOOS
poorly adjusted brake pads that squeal in use.,WILD PIGS
"a reflector. ""Nice winky set, fred!""",WINKY
"a crash. v. (""wipe out"") to crash.",WIPEOUT 
Marin-based organization founded by writer and former MTB racer Jacquie Phelan.,WOMBATS
"not functioning properly. ""I bailed, and now my wheel is all wonky and all I hear are wild pigs.""",WONKY
"to work on one's steed, to adjust or repair. n. a bike shop mechanic. ""I blew my shock but the wrench at Charlie's dialed it back in for me.""
",WRENCH
"a horrendous crash that leaves all your various ""wares"" -- water bottles, pump, tool bag, etc. -- scattered as if on display for sale.",YARD SALE
"a state of mind where you think you've reached The Zone, but you really just stopped paying attention to what you're doing. Usually used as an excuse for a particularly embarrassing biff.",ZONE OUT
