definition,title
"The flat-bottomed, plastic, vinyl or rubber devices that fit over the rounded end of a scuba cylinder, allowing the cylinder to stand up.",Cylinder Boots
D-shaped rings. Generally part of good BCDs and loved by technical divers.,D-Rings
The total pressure exerted by a mixture of gases is equal to the sum of the pressures of each of the different gases making up the mixture - each gas acting as if it alone were present and occupied the total volume.,Dalton's Law
"Diving that requires planning stops during ascent to avoid decompression sickness. In recreational diving (no decompression diving), a decompression stop is considered an emergency proceedure only and is never an intentional part of the dive plan.",Decompression Diving
"A potentially lethal diving disorder caused by bubbles of inert gases, such as nitrogen or helium, coming out of solution and becoming trapped in the tissues, organs and blood vessels of the body causing symptoms ranging from rashes to death.",Decompression Sickness
A pause during the ascent phase of the dive to allow safe release of inert gases from the tissues of the body and avoid decompression sickness.,Decompression Stop
"Printed tables that provide divers with a way of avoiding Decompression Sickness by giving the maximum times that can be spent at depth, and by indicating the Decompression Stops and Surface Intervals needed for a particular depth and time profile to be carried out safely.",Decompression Tables
For recreational divers a deep dive is one with a maximum depth of 40 metres / 130 feet.,Deep Diving
"""Fake spit"" that prevents fog from building up inside the mask during diving.",Defogging Solution
"Reduced water content in the body - caused by diving without drinking enough water, too much alcohol the night before the dive etc.

Always drink lots of water before diving.",Dehydration
Device that indicates how deep you are.,Depth Gauge
A line from a boat or buoy which can be used by divers to control their descent or ascent.,Descent/Ascent Line
"A diaphragm first-stage design inherently prevents water from entering the first-stage mechanism itself. This helps to prevent internal corrosion and contamination buildup, which may lead to more consistent performance between service intervals.",Diaphragm Regulator
"This is the gas used in a closed circuit rebreather to make up volume in the breathing loop as the diver proceeds to deeper depths and the gases in the breathing loop are compressed. Depending on the rebreather, and the type of diving, the gas used for diluent could be air, nitrox, trimix or even heliox.",Diluent
Screwable alternative to a yoke fitting for first stage - commonly used in Europe and has the advantage of reducing the chance of O-ring failure.,DIN Valve
"A group of people with an interest in SCUBA diving. Many dive clubs in Victoria are associated with commercial dive shops. However, there are also many non-commercial dive clubs, such as the Victorian Sub-Aqua Group (VSAG).",Dive Club
"Device that does all the had work for you. No more multi level diving calculations, no more PADI wheel - based on empicic data and theoretic models - not necessarily always right but a great help for repetitive diving. Beeps often.",Dive Computer
"Flag typically used by a dive boat to indicate that it has 'divers down'. Can also be used by a diver using a buoy and line. Comes in two versions: the international marine (international code letter flag 'A', as used in Australia) and the red and white flag (red with white diagonal).",Dive Flag
Specially designed underwater lights used for night dives or dive in dark places such as wrecks or caves.,Dive Lights/Torches
A two dimensional representation of the two most important characteristics of the dive that a scuba diver must monitor to dive safely: depth and time. The profile is often used when describing a dive's likely decompression obligation.,Dive Profile
"Supplier of scuba diving equipment or training, or organiser of dive expeditions or trips.",Dive Shop
See Decompression tables.,Dive Tables
An appropriately experienced scuba diver who leads a group of less experienced divers underwater. Some of the various training agencies (e.g. PADI) have a training programme and certification level for a Divemaster.,Divemaster
Motorised vehicles used by divers to cover long distances to underwater without having to kick.,Diver Propulsion Vehicles
"A non-profit organisation, exists to provide expert information and advice consistent with current literature for the benefit of the diving public.

In Australia call 1800 088 200.",Divers Alert Network (DAN)
These are used on the feet for faster swimming and to increase maneuverability. They are not called flippers... he is a dolphin.,Diving Fins
"Term invented by George Irvine III to describe the practices that he and others derived from Hogarthian principles, a rigorous diving discipline. Loved by technical divers.",Doing It Right (DIR)
Scuba diving in a current.,Drift Diving
Death caused by inability to inhale anything but water.,Drowning
A diving suit designed to thermally insulate and provide protection to the skin of the diver.,Dry Suit
Dual regulator systems use two primary stage regulators on a single air supply to allow a diver access to continue to access his air supply in the event of a malfunction in the first primary stage regulator. Generally loved by technical divers.,Dual Regulator Systems
Is used for double cylinder systems. It has two valves similar to single tank systems which are attached by a heavy-duty crosspiece with a valve outlet in the center.,Dual Tank Manifolds
Allows a single cylinder system to utilise two regulators on a single scuba tank.,Dual-Valve Manifold
Medical conditions resulting from changes in ambient pressure.,Dysbarism
An electrical device used to measure the concentration of oxygen gas in diving equipment.,Electro-galvanic Fuel Cell
"Tracking transmitters that operate as part of the Cospas-Sarsat satellite system. When activated, the beacons send out a distress signal that allows the beacon to be located by the satellite system and search and rescue aircraft to locate the divers or boats needing rescue.",Emergency Position-Indicating Radio Beacons (EPIRBs)
"This is one of the naming conventions for a non-normal mixture of Oxygen and Nitrogen. Air has approximately 21% Oxygen and 79% Nitrogen, this is the normal mixture of Oxygen and Nitrogen (also called normoxic). It you have more (or less) Oxygen in the mix, it is considered nitrox. If the mixture had 32% Oxygen with the balance as Nitrogen this would be labeled EAN32.",Enriched Air Nitrox (EAN[x] percent of Oxygen)
"Equalisation is the act of forcing air into an open space to offset increasing hydrostatic pressure. This can be applied to such spaces as a dive mask or the diver's ears, and prevents what is known as a squeeze.",Equalisation
"A way of expressing the narcotic effect of breathing gas mixtures that contain nitrogen, for example nitrox and trimix.

EAD is the depth relative to the partial pressure of nitrogen in a normal air mixture (21%O2, 79%N2). When there is a lower than normal fraction of nitrogen in a gas mix, the partial pressures of nitrogen are lower at any given depth. This allows the diver to feel less narcotic effect from the nitrogen than when breathing air at the same depth.",Equivalent Air Depth (EAD)
"Hollow structure of bone and cartilage extending from the middle ear to the rear of the throat. By permitting air to leave or enter the middle ear, the tube equalises air pressure on either side of the eardrum - see equalisation.",Eustachian Tube
Garments worn to prevent decreases in core body temperature and abrasion by the elements. Protection can range from lightweight body suits to heavily insulated dry suits.,Exposure Protection
A linear unit of measurement (equal to 6 feet) for water depth - commonly used by fishermen.,Fathom
Worn on the feet to increase maneuverability and allow for faster swimming. A great point of discussion between divers - who has the fastest and most efficient fins.,Fins
The part of the regulator which attaches to the scuba tank valve and which is responsible for the first level of tank pressure reduction.,First Stage
"A scuba diver, particularly a military diver on an undercover mission.",Frogman
These diving fins are predominantly used for snorkelling and warm water diving. They comprise of a rubber sock like unit to keep the fins on your feet.,Full Foot Fins
Filling diving cylinders with gas mixes such as nitrox or trimix.,Gas Blending
A potentially lethal diving disorder caused by air or other gas bubbles entering the blood stream through wounds.,Gas Embolism
Gas saturation occurs when the level of dissolved gas in a particular body tissue has reached its maximum.,Gas Saturation
"Any instrument used to measure or quantify, typically used to measure cylinder pressure, depth and direction in diving.",Guage
A tank valve with 2 outlets.,H-Valve
"Related to Haldane's theory that nitrogen is taken up and given off in exponential fashion during a dive, and that there is some safe ratio of pressure change for ascent (originally, 2:1).",Haldanian
Visible boundary between layers of water of different salinities. Appears as a barrier of mist.,Halocline
"An extra tank, ideally of deco mix, staged at the decompression stop.",Hang Tank
"Surface supplied diving, generally in professional diving, either wearing a modern diving helmet or the old-style standard diving dress and brass helmet.",Hard Hat diving
"A breathing mixture of gases consisting entirely of Helium and Oxygen. This is used to eliminate Nitrogen narcosis and to control the affects of Oxygen toxicity, by eliminating the Nitrogen and reducing the Oxygen in the breathing mix. Another benenfit is reduced effort of breathing due to the lower density of helium. There are a few disadvantages, for working divers, helium distorts the voice and helium has less insulating value than an Oxygen/Nitrogen mix which results in divers becoming cold sooner.",Heliox
The amount of any gas that will dissolve in a liquid at a given temperature is a function of the partial pressure of the gas in contact with the liquid and the solubility coefficient of the gas in the liquid.,Henry's Law
"The Hogarthian configuration is named after Bill ""Hogarth"" Main. It is based on reducing equipment to a minimum streamlined configuration that nevertheless includes sufficient redundancy for extended decompression dives",Hogarthian Principles
"Surface-supplied compressed air apparatus, for use in shallow diving in calm waters. The air is delivered to one or more divers through a long hose.",Hookah
"Used to carry air in a SCUBA unit. Example of use, to connect the first stage to the second stage of a regulator.",Hose
High Pressure Nervous Syndrome or Helium Tremors - caused by using breathing gases that contain helium at depth.,HPNS
"Hydrogen is an inert gas and the lightest, most abundant gas in the universe. It is believed it could be used as a substitute for helium in deep commercial and military diving.",Hydrogen
Pressure test in which the cylinder is filled with water instead of air. Needs to be done yearly in Australia to be able to have your tanks filled.,Hydrostatic Test - Hydro
Air-tight chamber that can simulate the ambient pressure at altitude or at depth - used for treating decompression illness.,Hyperbaric Chamber
Carbon dioxide poisoning generally caused by rebreathing your own exhaled carbon dioxide. A big problem at depth especially with rebreathers or high rates of exertion.,Hypercapnia
Either a deliberate and dangerous method intended to extend the duration of a free dive or the body's response to hypercapnia.,Hyperventilation
A potentially lethal medical condition caused by cooling the body.,Hypothermia
Insufficient oxygen in the body - normally caused by inhaling a breathing gas that contains insufficient oxygen to support normal activities or consciousness.,Hypoxia
Gas trapped in the chest after lung barotrauma.,Interstitial Emphysema
A J-Valve contains a spring-loaded mechanism which shuts off a diver's air supply when a certain tank pressure is reached - formerly used to trigger switching to reserve air supply and divers ascent.,J-Valve
Simple on/off valve.,K-Valve
Like underwater balloons. Helps lifting heavy objects underwater using bags filled with air at depth.,Lift Bag
Dive boat with sleeping and eating facilities - a preffered way to dive for those who don't like to juggle their gear around a lot and for those whose life on the surface of this planet is just another surface interval.,Live Aboard
List of the dives a diver has recorded for proof of experience.,Log Book
An M-value is used in conjunction with a dive computer to express the tissue compartment’s maximum allowable pressure in feet of seawater absolute (fswa).,M-Value
Plumbing to connect 2 tanks so that one regulator can access gas in both tanks.,Manifold
Occurs during rapid descents if the diver neglects to equalize his mask. Blood shot eyes are the most common symptom.,Mask Squeeze
The depth at which the partial pressure of oxygen (ppO2) of a gas mix exceeds a safe limit.,Maximum Operating Depth
Planning profiles that credit you for slower nitrogen absorption when you ascend to a shallower depth. This provides more no-stop dive time.,Multilevel Diving
Nitrogen narcosis - under the influence of nitrogen while diving.,Narced
A US Navy trained military diver.,Navy SEAL
"Neoprene is the DuPont Performance Elastomers trade name for a family of synthetic rubbers based on polychloroprene (polymer form of Chloroprene). For diving and exposure protection applications, the air spaces in the neoprene are filled with nitrogen for its insulation value. Thick wet-suits made at the extreme end of their cold-water protection are usually made of 7mm thick neoprene. It should be noted that since neoprene contains many porous air-spaces, the material compresses the further underwater its exposed too. So a 7mm neoprene wet suit offers much less exposure protection under one hundred feet of water than at the surface. A new advance in neoprene for wet-suits has been the ""super-flex"" variety which combines spandex into the neoprene for a greater flexibility.",Neoprene
A dive at night - many underwater animals are nocturnal or behave differently at night.,Night Diving
Condition caused by breathing nitrogen at high pressure (at depth).,Nitrogen Narcosis
A breathing gas consisting of oxygen and nitrogen,Nitrox
"The maximum time that can be spent at a depth before decompression stops are required. Also called ""no-stop time"".",No Decompression Limit (NDL)
A dive made within no decompression limits because you don't have any required emergency decompression stops.,No-Stop Dive
"This is the term used to describe the normal mixture of gases found in the atmosphere. More specifically it refers to the percent of Oxygen in the mix. Since the atmosphere has 21% Oxygen, a mixture of gas with 21% Oxygen would be called normoxic.",Normoxic
"Extra second stage regulator alternate air source used by your buddy in an out of air emergency. Also referred to as an Occy.

However, many divers, including many technical and DIR divers, in an emergency prefer to pass the second stage regulator from their own mouth to their budddy, and use the Octopus as their air source. The thinking is that your buddy will probably grab your second stage regulator from your mouth anyway, so you may as well know how to switch to your Octopus.",Octopus - Occy
Reducing the load of nitrogen (and/or other inert gasses) on the surface or on the safety stop. Also known as outgassing.,Offgassing
"Type of fin used mainly with drysuits, and where boots are worn, open back to slot foot in, with strap to keep them on your feet.",Open Heel Fin
Gas vital to all life on this planet which makes up 21% of air by volume.,Oxygen
"Is caused by using breathing gases that contain oxygen at high pressure (at depth).

There are two primary types of Oxygen toxicity.

One results from long exposures of elevated ppO2's and is called ""The Loraine Smith Effect"" or ""Pulmonary Oxygen Toxicity"" as the primary damage is to the lungs and airways.

The other type of Oxygen toxicity results from short high ppO2 exposures and is called ""The Paul Bert effect"" or ""CNS Toxicity"" (Central Nervous System Toxicity) and is characterized by convulsions with little or no warning signs. CNS toxicity usually occurs with ppO2's above 1.6.",Oxygen Toxicity
"Professional Association of Diving Instructors. World's largest scuba training agency. Often reffered to as ""Put Another Dollar In"".",PADI
The concentration of individual component gases of breathing gases. In simpler terms it may be thought of as the number of molecules per given volume of gas. More molecules per volume = higher partial pressures. In more specific terms it is the Fraction of the gas (F[x]) multiplied by the absolute atmospheres.,Partial Pressure of a Gas
Collapsed lung.,Pneumothorax
Small scuba tanks strapped to your main dive gear - see D-ring. These tanks have their own first and second stages and can be used as an alternate air source. A requirement for solo diving.,Pony Bottle
Special masks for divers needing refractive correction.,Prescription Dive Mask
A letter used on Dive Planners to designate the amount of theoretical residual nitrogen in your body.,Pressure Group
Diving for payment.,Professional Diving
Pounds per square inch - a common measurement of air pressure.,PSI
Purge valves allow masks and even regulators to be cleared easily without having to remove the mask from the diver's face or the regulator from the diver's mouth.,Purge Valve
"Breathing equipment that captures, cleanses and re-oxygenates exhaled breath so that it can be re-inhaled.",Rebreather
A pressure vessel used to treat divers suffering from certain diving disorders such as decompression sickness.,Recompression Chamber
"A type of diving that uses SCUBA equipment for the purpose of leisure and enjoyment. Used to refer to diving to prescribed limits, including a depth no greater than 40 metres, using only compressed air and never requiring a decompression stop.",Recreational Diving
"Regulators reduce the highly compressed tank pressure to ambient pressure for easy breathing pleasure.

A regulator set is typically sold as a first stage regulator, plus a second stage regulator. Most divers then add a reserve 2nd stage regulator, also called occy or octopus.",Regulator - Reg
A dive that follows another dive while there is still a significant amount of residual nitrogen in your body. For recreational diving this is considered to be within six hours of a previous dive.,Repetitive Dive
The higher than normal amount of nitrogen remaining in a divers body after a dive.,Residual Nitrogen
When the internal pressure of an air space is greater than the external pressure.,Reverse Block
"Pain or discomfort in an enclosed space (e.g., sinuses, middle ear, inside mask) on ascent from a dive.",Reverse Squeeze
Generally with solid keel and large inflatable tubes.,Rigid Inflatable Boat (RIB)
"An air management technique. Use a third of the tank to get to your destination, a third to get back, and the last third belongs to your buddy in case of an emergency.",Rule of Thirds
"A stop made within 5 and 6 metres / 15-20 feet for three or more minutes at the end of a dive for additional safety. The safety stop is recommended after all dives (air supply and other considerations allowing) and required on dives to 30 metres/ 100 feet or greater, and dives coming close to the no decompression limits.

Dive tables based Dr. Bruce Wienke's Reduced Gradient Bubble Model (RGBM), suggest deeper initial safety stops. It is recommended that all recreational diving incorporate a one minute deep stop at a depth half that of the maximum, followed by a two-minute stop at 5-6 metres/15-20 feet.",Saftey Stop
The degree to which a gas is dissolved in the blood or tissues - full saturation occurs when the pressure of gas dissolved in the blood or tissues is the same as the ambient (surrounding) pressure of that gas.,Saturation
"Diving performed after the body is fully saturated with nitrogen - to become fully saturated, the diver must stay under water for a much longer period than is allowed in recreational scuba diving tables.",Saturation Diving
Diver Propulsion Vehicle.,Scooter
"Self Contained Underwater Breathing Apparatus. The term SCUBA in common usage usually means open-circuit equipment in which gas (usually air) is breathed from a cylinder of compressed gas and then exhaled into the water, usually in the line of kit development started by Emile Gagnan and Jacques-Yves Cousteau. However, rebreathers (both semi-closed circuit and closed circuit) are also self-contained systems (as opposed to surface-supplied systems) and could be classed as SCUBA.",SCUBA
"The part of the regulator you put into your mouth to breathe through.

Most divers have a reserve 2nd stage regulator, also called an occy or octopus.",Second Stage
A wet suit with wrist and ankle seals to reduce entry and exit of water.,Semi-dry Suit
Scuba diving that starts from the shore line.,Shore Diving
"A complete loss of visibility caused by silt being disturbed, typically by careless finning.",Silt-out
Sinus squeeze occurs during a rapid descent when a diver is unable to equalize the air space in the sinus cavity. A diver experiencing sinus squeeze will often experience pain and surface with blood in his mask due to the trauma caused by a squeeze.,Sinus Squeeze
Air spaces within the skull that are in contact with ambient pressure through openings in the back of the nasal passages.,Sinuses
Inflammation or infection of the sinuses.,Sinusitis
A lycra suit worn by a diver in warm water or under a wet suit.,Skin
Another term for breath-hold or free diving - diving without the use of SCUBA equipment.,Skin Diving
"The practice of inhaling, holding the inhalation for a period of time and then exhaling in order to attempt to extend the time underwater by using less air. This practice can lead to a buildup of CO2 and symptoms of hypercapnia.",Skip Breathing
A reserve supply of breathing gas not carried with the diver generally used for decompression.,Sling/Stage cylinder
Breathing device consisting of a bent tube fitting into a swimmer's mouth and extending above the surface. Allows swimmer to breathe while face down in the water.,Snorkel
"The act of diving without a buddy. It is generally recommended to have at least an alternate air source (see - pony bottle, alternate air source) if you engage in such practice. Not a recommended dive practice and not allowed on most charter boats. However, loved by keen photographers and videographers.",Solo Diving
"Pain of discomfort in an enclosed space (sinuses, middle ears, inside a mask) caused by shrinkage of that space - occurs on descent. See reverse squeeze.",Squeeze
A reserve supply of breathing gas not carried with the diver. An example is a stage bottle at the safety decompression stop at 5 metres (15 feet) for divers who are low on air at that point.,Stage Cylinder/Bottle
"Old-fashioned ""hard hat"" diving gear.",Standard Diving Dress
Gas under the skin tissue.,Subcutaneous Emphysema
"A gauge attached by a hose to a first stage and indicating remaining air pressure in a tank.

Today, some dive computers support having a pressure transmitter attached to the first stage. Then the dive computer can receive the pressure transmitted and display it.",Submersible Pressure Gauge - SPG
"Equipment, such as flags, SMBs, flares, EPIRBs and whistles, carried by divers to maintain contact with dive boats or attract rescue when lost at sea.",Surface Detection Aids
The time on the surface between dives. Divers need to track this time interval for planning decompression for the next dive.,Surface Interval
A small inflated buoy that divers tow when underwater on drift dives to indicate their location to their boat.,Surface Marker Buoy (SMB)
Diving with the air continuously supplied by a compressor on the surface. See hookah.,Surface-Supplied Compressed Air Diving
The commonly used name for a scuba cylinder in the United States.,Tank
"A form of SCUBA diving that exceeds the scope of recreational diving allowing deeper and longer dives.

Diver who likes lots of gadgets or even as little gadgets as possible - depending on the type of tekkie. Diving with rebreathers, different mixes of gas, lots of stage bottles, going very deep into caves and silty wrecks are part of the tekkie diver heaven. If you have a BCD with less than 6 D-rings, you are NOT a tekkie diver.",Technical Diving
"Sudden changes in water temperature with changing depth. They occur when warmer, lighter water forms a layer above a more dense, colder layer of water If strongly effected by currents it can be the other way round occasionally.",Thermocline
Divers must wait approx. 24 hours after the last dive before flying to reduce the risk of decompression sickness.,Time To Fly
"A breathing gas consisting of oxygen, helium and nitrogen. This proportions of each are changed according to the needs of the particular dive plan to help limit Oxygen toxicity and Nitrogen narcosis.",Trimix
Used to keep a diver warm and comfortable when diving in a dry suit.,Undersuit
"Dizziness brought on by the inequality of pressures in the inner ear.

Vertigo (dizziness) is a sign of ear barotrauma and should not be ignored. Causes may range from minor ear squeeze to perforation of the eardrum to inner ear barotrauma.",Vertigo
Visibility is the distance a diver can see underwater measured in metres or feet.,Visibility - Viz
Diving along the face of a vertical wall - requires good buoyancy control because there is no seabed to prevent the diver descending too deep.,Wall Diving
"A heavy belt worn around the waist to help a diver descend, and stop them rising to the surface involuntarily. Usually contains a set of lead weights.",Weight Belt
A tightly fitting neoprene thermally-insulating diving suit that allows a limited volume of water inside the suit.,Wet Suit
Diving on shipwrecks.,Wreck Diving
A cylinder valve with two outlets.,Y Valve
