definition,title
"This is the process of determining the approximate age, as of a fossil, by the use of the radiation rate of carbon 14.",CARBON DATING
"A small, hand-sized pouch for a climber's chalk that is usually clipped or tied onto the climber's harness for easy access during a climb. ",CHALK BAG
A knobby feature (resembling a chicken's head) found in granite which provides excellent holds for hands or feet.,CHICKHEAD
This refers to a crack large enough to climb inside of. ,CHIMNEY
"A type of passive protection consisting of a flared piece of metal on a cable loop, designed to be placed in a constriction.  This is also called ""nut"" or ""chockstone"".",CHOCK
"loose, bad quality rock",CHOSS
"This means to remove the protective gear placed by the climbing leader while ascending. Usually accomplished by the following climber, or ""second."" This also refers to climbing an aid route without a hammer. ",CLEAN
"This is a series of connected spirals or concentric rings. As a verb, it means to wind in spirals.",COIL
"This means curved or rounded outward, like the outer surface of a ball.",CONVEX
This is a narrow crack.,CREVICE
 section and know more terms used in this sport.,CRIMP
Grip strength reduces due to exertion.  Feels like Crisco on your hands...may want to check your chalk bag!,CRISCO
 section and get familiar with the terms used by climbers when referring to Climbing Moves.  ,CRUX
This is a nylon sling sewn into loops; also used to provide supplemental security at belay stations. ,DAISY CHAIN
This refers to the ground.,DECK
"This refers to a steep, descending slope.",DECLIVITY
This means to decrease the intensity of.,DE-ESCALATE
"These are loose fragments, especially those formed by disintegrating of rock, or debris.",DETRITUS
"This is something that has such a fine texture, that it looks to be transparent/ delicate in form/vague or insubstantial.",DIAPHANOUS
This is a point where two walls meet in a right-angled inside corner.,DIHEDRAL
"This is an acute, febrile, contagious disease caused by a bacillus and characterized by formation of false membranes in the throat and other air passages causing difficulty in breathing.",DIPHTHERIA
This is the term used to tell the belayer that you are ready to be lowered to the ground. ,DIRT ME
"A closed loop of bar-tacked webbing designed to hold a carabiner on each end, to make a quickdraw.  Dogbones are typically a fixed length of 15-25cm (6-10in).  The name ""dogbone"" refers to the shape made by the webbing with a narrow mid-region and two bulbous/rounded loops at the ends.",DOGBONE
"Short for ""dynamic,"" a gymnastic upward leap for a distant hold.",DYNO
This refers to an abnormal accumulation of serous fluid in the tissues.  ,EDEMA
belay device,EDK
A person who thinks he's Elvis!,ELVI
"Also called sewing machine leg, this it the uncontrollable shake of a leg during a climb. Often due to a combination of nerves and overcontraction of muscles.",ELVIS LEG
"This term refers to the bacteria that cause severe illnesses such as cholera, dysentery, and typhoid that may be in waters of an underdeveloped area in the world. These can be killed by simply boiling the water before use.",ESCHERICHIA COLI
original French word for nylon webbing steps used in aid climbing,ETRIER
"[n.] A mathematical term used to describe the stress applied to the system (especially and specifically to the rope).  Abbreviated FF, a fall facotr is equal to the length of the fall divided by the length of the rope paid out. Fall factor 2 (FF2) is the maximum that should be possible in a normal climbing fall, since the length of an arrested fall can't exceed two times the length of the rope paid out. Normally, a FF2 can occur only when a leader who has placed no protection falls past the belayer, or the anchor. As soon as protection is placed, the distance of the potential fall as a function of rope length is lessened, and the FF drops below 2.",FALL FACTOR
This means containing or based on fundamental errors in reasoning; misleading; deceptive.,FALLACIOUS
Training equipment used to build grip strength and arm strength. ,FINGER BOARD
"This is a narrow crack or opening, as in a rock face.",FISSURE
 section to know more terms used in this sport.,FLAG
A chipped off part from a big stone (rock) which  is loosely fixed on the rock.  This is highly dangerous for the belayer below because it may break or crack the belayer's head.,FLAKE 
uncoiling a rope one loop at a time into a pile,FLAKING
Completing a first attempt at climb with no falls (or resting on the rope) with the help of some beta either in the form of observing another climber or receiving intructions with regard to technique.,FLASH
Reaching the summit of a multi-pitch sport climb ,FLY 
 section. ,FRIEND
"Both are present in back country waters, worldwide as well as throughout the U.S.  Symptoms sometimes take two to twenty days to manifest themselves, that can include: nausea, diarrhea, stomach cramps, fever, headaches, flatulence, and belches that smell like rotten eggs. Simply boil or filter your water before use.",GARDIA/CRYPTOSPORIDIUM
"This is the theory of gravitation propounded by Albert Einstein, extending the special theory of relativity to accelerated frames of reference and introducing the principle that gravitational forces cannot be distinguished from those caused by inertia.",GENERAL RELATIVITY
"The U.S.Department of Defense has placed twenty-four GPS satellites into orbit. These satellites continuously broadcast position and timing information to every point on earth. A small handheld, portable GPS receiver can acquire signals from these satellites and decode the signals to provide position and altitude. To obtain two-dimensional position information (latitude and longitude), the receiver must acquire signals from three satellites. If a fourth signal is acquired, altitude can also be displayed.",GPS / GLOBAL POSITIONING SYSTEM
This is an instrument used in determining specific gravity.,GRAVIMETER
"This refers to the attractive central gravitational force exerted by a celestial body such as the earth. It can also mean weight, seriousness, or importance.",GRAVITY
"To make a clean (no falls or resting on the rope) ascent of a route on toprope.  The term greenpoint is analogous to redpoint, in that there may have been a previous attempt, and/or beta received.",GREENPOINT
"A proprietary (Petzl) self-braking (auto-locking) belay device for use with a single rope, in which camming units on the interior of the device lock the rope when sudden acceleration or tension (a fall) is applied.  Grigris are frequently used in sport climbing and toproping.",GRIGRI
Term for a novice climber (sometimes derogatory),GUMBY
"[v. or n.] Refers to frequent hanging or resting on the rope during a climb. A climber may ""hangdog""/""be hangdogging"" (v.) a route; or a climber may be refered to as a ""hangdog"" (n.) for frequently resting on the route.",HANGDOG
"Body fluids leak into the lungs to a degree that interferes with respiratory function. This is a potentially fatal condition and survival depends on rapid response. Early signs are rapid breathing and increased pulse. Listen to the chest for a crackling sound, is usually a sign of fluid in the lungs. Lips are usually blue and nail beds may appear blue. You must descend that person to 3,000 feet, at which time, most of the symptoms will subside.",HAPE/HIGH ALTITUDE PUMONARY EDEMA
"When the first portion of the wall is not on a consistent level of difficulty with the rest of the climb. For example, the first bolt is higher and will require more skill to reach but after that, the remaining bolts are consistent",HARD START
 section.,HAUL LOOP
"This is a hexagonally shaped nut attached to a flexible looped wire which is inserted into a rock crack as a protective climbing device (""Hex"" for short). 
",HEXCENTRIC
 section.,HMS CARABINER
 section. ,INDOOR CLIMBING
"This is a mushroom of the genus Coprinus, with gills that dissolve into a dark liquid upon maturity.",INKY-CAP
This means to turn upside down or inside out.,INVERT
This means solidly fixed or established; deep-rooted.,INVERTERATE
"This means to call on for aid, support, or inspiration: to resort to.",INVOKE
"This is an extremely useful knot as it can be used for Belaying, Abseiling, and rigging. Know how to tie this climbing knot in our ",ITALIAN HITCH
"This refers to a technique of climbing cracks in which the fingers, hands, or feet are wedged inside a rock crack to gain traction and facilitate upward progress.",JAMMING
"This refers to a massive, destructive force or object.",JUGGERNAUT
"This is a mass of igneous rock intruded between layers of sedimentary rock, causing uplift.",LACCOLITH
 section for more information.,LEADER
 section.,LEADING
A safety sling used to attach ones body to a highline. Made by threading climbing rope through tublar webbing.,LEASH
A method of attaching a slack line to an anchor-without any knots.,LINE-LOCKER
 section for details. ,LOCKING CARABINER
 section.,LOWERING
"This is the capability of being shaped, bent or drawn out, as by hammering - workable, capable of being altered or influenced.",MALLEABLE
The opposite of Bombproof. A piece of gear is said to be manky if it is not placed well and could fall out at any moment.,MANKY
This is a technique in which a climber grasps a hold waist-level and powers the body upward with minimal assistance from the feet. ,MANTEL
"From the genus Marmota, this is a short-legged rodent that is found throughout the Northern Hemisphere.
",MARMOT
 section.,MATCH
To actively use your toes to grip a hold; to use toes to wrap or apply additional pressure to secure a hold.,MONKEY TOE
"This refers to a climber who sometimes lets small, bad decisions turn into big ones.",MUDDLING
"This is inflammation of a nerve, causing pain, loss of reflexes, and muscular atrophy.",NEURITIS
"A type of passive protection made of a flared piece of metal connected to a cable (typically); and designed to be placed in a constriction. Nuts are also called ""chocks"" or ""chockstones.""  The name ""nut"" originates from early climbing use of hardware nuts slung on a cord as passive protection.",NUT
"Rock falls, snowstorms, avalanches, lightning, wind, rain, and extreme temperatures are examples of Objective Hazards.",OBJECTIVE HAZARDS
"This refers to something that balances, counteracts or compensates. It can be a ledge or recess in a wall.",OFF-SET
 section.  ,ONSIGHT
"This refers to a sudden attack or outburst, as of emotion: spasm.",PAROXYSM
 section.,PASSIVE PROTECTION
"This is an object that is hung from a fixed support, so that it can swing freely back and forth.",PENDULUM
"This means danger, or something that is a source of danger.",PERIL
"[n. or v.] An antiquated term referring to a clean (no falls or resting on the rope) ascent of a route with previously placed protection (bolts), such that the climber only needs to clip the rope into the protection.  The term ""pinkpoint"" has been all but completely replaced by ""redpoint,"" which is now used for both sport and trad climbing.  A pinkpoint/redpoint may be achieved with prior failed attempts or beta for the particular climb.",PINKPOINT
"This refers to a tall, pointed formation, as a mountain peak. This is the highest point or summit.",PINNACLE
"This is a metal spike, often with a hole on one end to connect a carabiner and to allow rope to pass through. A piton can be driven into ice or rock as a support, as in mountain climbing.",PITON
"Pitons or pegs are steel (or alloy) pins which are driven into cracks in the rock to provide belays and points of assistance. There are a number of piton types, Blade, Angle and Bong, for example.",PITON
This is a sliding friction knot used to ascend a rope; to ascend a rope by means of such a knot.,PRUSSIK
A condition of severely depleted strength and lactic acid burn caused by over working the forearm muscles while climbing.,PUMPED
"To gain leverage on grip, traction.",PURCHASE
 section.,QUICKDRAW
The collection of protective devices that a climber carries on a route. This is attached to harness loops or on a sling slung across the shoulders. ,RACK
 section.,RAND
 section.,RAPPELLING
"A complete ascent of a climb without falling (or resting on the rope), with some prior knowledge of the climb.  A redpoint can be achieved if the climber has previously failed at the climb and has come back to complete a clean climb.  ""Redpointing"" a climb implies placing gear (clipping into bolts or placing pro) along the way, and is generally reserved for lead climbing (as with ""flash"" and ""onsight"").",REDPOINT
This is exceeding what is required or natural.,REDUNDANT
A closed (bar-tacked) loop of webbing.  Length and width of runners offered in retail vary depending on intended use and material of construction (nylon generally being wider than spectra or dyneema).,RUNNER
This refers to an uncomfortably long and often dangerous distance between two points of protection.,RUNOUT
ruka v rici - classical style of climbing,RVR
 section and learn some basic words or phrases used by climbers in communicating with each other.,SAFE
a climb that has given you great satisfaction and you are very proud of.,SAVAGE
[v.] To complete a route successfully; does not specify whether beta has been received or previous attempts have been made.,SEND
"When the leg of a fatigued climber spasms uncontrollably in an up and down motion, usually while in a stressed position. Also referred to as ''Elvis Leg''.",SEWING MACHINE LEG
Heavy duty slackline anchor. (4 ton preferably used in professional highlining.)  To be used in conjunction with a line locker.,SHACKLE
"The resultant stress/shock to a system and climber resultant of 3 factors: weight of falling object (climber); fall factor (fall length / rope length); and dynamic capacity of the rope. If a rope is very dynamic or the fall factor is small, then the shock load is dramatically decreased versus larger values for those variables.",SHOCK LOAD
 section to know more about the different types of Climbing Harnesses.,SIT HARNESS
Less than vertical rock face that usually requires balance and friction,SLAB
 section.  ,SLACK
 section.,SLCD
See Runner.,SLING
"This refers to a technique of applying to a rock slab as much of the sticky sole of the climbing shoe as possible to achieve maximum friction.

",SMEARING
"This sphere is the crossroads of all the climber's protective measures such as helmet, special clothing, rope, not to forget training and experience, along with the hazards of the mountain.
Clear and realistic thinking will keep out the overconfidence and wishful thinking that could create a dangerous sphere of acceptable risk.",SPHERE OF ACCEPTABLE RISK
"A move requiring a little less power than a ""DYNO"". To release stored energy from the legs to push into an extended hand hold. To ""sprong"" from a foothold to far off hand hold.",SPRONG
"This is a process used when trad climbing and you run out of active pro and all you have are passive wedges. Place two, of different sizes (opposite one another), in the crack. The bigger of the two should be on top. Give the bigger piece a tug to seat it properly. Connect the two with a biner to keep one from becoming a flying object in case one of the two should fail. Note: Only use straight sided wedges!",STACKING
Sedate and reserved,STAID
 section for more details.,STICHT PLATE
 section and learn how you can improve your Strength-Endurance.,STRENGTH- ENDURANCE
"These are simply hazards caused by the climber: ignorance, improper training, poor judgment, inadequate equipment, and poor conditioning as well as too much confidence, false pride, and fear.",SUBJECTIVE HAZARDS
This refers to an excessively rapid heartbeat.,TACHYCARDIA
"This is a surface look or feel of something. It is a basic makeup or structure of a substance.
",TEXTURE
"The Eiger is a mountain in the mountainous range of the Bernese Alps of the Swiss Alps and is 13,025ft. or 3,970m. It consists of three peaks called: the virgin, young woman, and the Monk. The first ascent was made in 1858 by two Swiss guides and one Irishman. The name Eiger means point or sharp.",THE EIGER
"1"" Tubular webbing that has been threaded by 11/16"" webbing.
(preferably threaded by 2 strands of 11/16"" creating a 6 layer piece of webbing.",THREADED-SLACKLINE
When somebody reaches the top of a climbing wall and its a term for sitting at the top of the wall,TOP OUT
A form of climbing where the rope is secured to an anchor point at the top of the route before the climber starts the climb.,TOP ROPING
This means having been deprived of the power of motion or feeling; dormant; hibernating; spiritless.,TORPID
 for more information.,TRICAM
This means to pinch sharply and twist.,TWEAK
This refers to the philosophical doctrine that action should be based on the usefulness of its effects and that only the useful is good or worthwhile.,UTILITARIANISM
This is an agent that destroys or expels intestinal worms.,VERMIFUGE
This refers to a sensation of dizziness or loss of direction.,VERTIGO
This is a large non-venomous scorpion-like arachnid that gives off a strong vinegary odor when disturbed.,VINEGARROON
A home made climbing wall usually made out of plywood and 2x4's.,WOODY
 section.,YOU'RE OFF / OFF BELAY
"This refers to any of the various chiefly tropical new world plants with stiff, pointed leaves and a terminal cluster of white flowers. The native Indians often use the leaves for thread to sew their garments together and their moccasins. The stalk was and can be used with a bow to make fire.",YUCCA
"This is a circular, domed tent used by nomadic tribes of Siberia.",YURT
 section.,Z-CLIPPING
This is the point in the sky that is directly overhead; the highest point; apex or climax.,ZENITH
This refers to a fall of such length and velocity that the climber's protective devices are ripped from the rock in rapid succession.,ZIPPER FALL
