definition,title
"This phenomena usually occurs at a cliff launch or cliff like launches but is not unheard of on some ramp launches.  The wind coming up over the lip of the cliff, spills over the lip of the cliff in a Clock Wise rotation.  Which in turn lifts the glider up from the rear, pushing the glider and pilot towards the edge.
","Ramp Suck
"
"The angling upward of a wing's trailing edge.  Reflex aids in stall recovery.
","Reflex
"
"The reserve parachute, stored on a pilot's chest.
","Reserve
"
"An area on a sectional chart shown by a wide blue line of hash marks with a sharp outer edge.  Flight in one is prohibited when activated.  Permission should be obtained at other times.  Charts show the altitude limits and controlling agency.
","Restricted Area
"
"Rigid Wing – A high aspect ratio hang glider which, due to its more traditional aircraft-like rigid frame and airfoil, utilizes (more) conventional control surfaces to change its attitude and direction of flight. Rigid wing hang gliders offer significant advantages in performance over flex wings, and are much better at tasks such as cross country flying.  However, they achieve these improvements at the cost of greater structural complexity, higher weight, and a less intuitive method of pilot control.  They also cost noticeably more than flex wing hang gliders.  Rigid wing hang gliders are, in a way, a bridge between flex wing hang gliders and traditional aviation’s sail planes.  As  such, they often attract, and are flown by, hang glider pilots who began flying general aviation aircraft and/or sail planes.
","Rigid Wing
"
"Rotation about the longitudinal axis.  In a Hang Glider this axis is defined by the Keel and is controlled by pushing right or left on the control bar.
","Roll
"
"The center-most section of a wing.  On a hang glider this occurs where the wing meets the keel.
","Root
"
"See ""speed to fly""
","S2F
"
" The flexible membrane (heavy duty material) that makes up the outer and effective airfoil of a flex wing hang glider. This sail is secured to and covers the inner frame of the hang glider. The sail material is made of many different combinations of materials, such as Dacron polyester, Mylar laminates and other composite fabrics. The materials making up a hang glider sail are extemely durable, very strong and can last for many 100's of hours of flying.  
","Sail
"
" Method of launching a hang glider where a modified motor scooter is used as the winch.  In scooter towing, the rear wheel of the scooter is exchanged for a drum that is used as the takeup reel for tow line.  Tow line is routed from the glider through a pulley and back to the scooter.  The scooter's operator then uses the engine's power to pull the glider aloft.  Scooter towing can be used both as a tool for teaching beginners at a very low altitude, and for getting more experienced pilots several hundred feet into the air.
","Scooter Tow
"
"The act of trying to work your way up higher in light lift. Many times in light winds on a ridge or in light thermal conditions it will be difficult to get up higher. Being patient and ""scratching"" long enough may enable you to stay up long enough to find better lift and get higher.
","Scratch
"
"Founding hang gliding organization with ""OTTO"" membership designations. Ratings: ""Hang glider pilot""  and ""Intrepid Aeronaut"" with 100% pilot self-responsibility while having robust fellowship for sharing information and flying critique.   ,.   ,.  ,.  ,.  Hang Glider Manufacturers Association. S-SA communicated robustly into 23 nations. S-SA had a stint of being incorporated in the state of California.  Recently, the morph of S-SA are the two entities: , (WHGA) and , (WPGA)  where the first has a focus on , hang gliders, while the WPGA has a focus on , hang gliders which are mostly today (but won't always be the case) the conventional canopy that has very little amount of compression material in the canopy assemblies. The pilot-market will shape what happens to any type of hang glider's popularity. Niche designers are welcome, regardless of classifications.  
","Self-Soar Association
"
"Speed gliding. A specialized mode of hang gliding in which high speed flying occurs, often down steep slopes and relatively close to the ground. Typically, this is done as a form of competion with the fastest time through a defined course resulting in a win. 
","SG
"
"A benevolent bastard, residing in the nicest city in the US, shunning the sun to code a top-notch hang gliding website.
",
"A glider where the fabric forms the airfoil.  Single surface gliders are typically, ,, light-in-weight, easy-to-fly, lower-in-performance, and are suitable-for-all-pilots gliders. Technically, a wing that is of the thickness of just a single fabric layer has become known as SS; acturally there is still a top surface and an lower surface to that single fabric. The airfoil of a SS glider (HG or PG) is thus super thin. In distinction, when the airfoil is thicker, then the lower surface shape becomes distinct from the shape of the upper surface where double-surface (DS, DSHG, DSPG) is then a term used. Notice that a SSHG is potentially a high-performance machine requiring expert piloting for a minimum. SS gliders historically have ranged from safe to unsafe, from low cost to high cost. The 1972 Roy Haggard SS flexible-wing hang glider at the Turkey Fly was with a very taut sail, low wing loading, and perhaps no diver-recovery reflexing; such was in its moment a very excellent glider for guarded flying, but not suitable for just ""most pilots."" The Rogallo limp wing single-surface parawing and Barish Sailwing have been used for paragliding; the Domina Jalbert double-surface thick ram-air airfoil is the most popular DS wing used for paragliders. [Recall that in early 1960s ""paraglider"" was used for the framed flexible wing hang glider; but as the Barish leadership developed foot launch limp-wing compression-member-less canopy hang gliding, the term ""paraglider"" began to be reserved for the generally rigid-frame-less string-controlled hang glider; today, the bifurcation persists. Designers still recognize that a continuum potential exists from no compression members to fully solid forms; and a potential for mixed control patterns from string-only control through hybrids of string-and-frame control to frame-only control designs.]  SS gliders may take airfoil shapes via various mechanisms: shaped leading edge members, shaped ribs, shaped battens, shaped appliques, holds from exterior wires.  In some sport events SSHGs form a class with an implication that one is probably using a product from a manufacturer dubbed SS. Also , (SSW) is sometimes used.  Very-thin constant-thickness airfoils (though mechanically having a top surface and a lower surfaced) has been seen popularly as SS. 
","Single Surface (SS, SSHG, SSPG, SSW)
"
"The opposite of lift. Downward wind, often next to thermals and constituting the air mass balance for them.
","Sink
"
"The sound made by a variometer to warn the pilot that he/she is flying in moderate to strongly sinking air. This tone is usually a solid and decsending one - as opposed to a series of higher and rising pitch beeps, which indicate when the glider is rising. This rising and ""chirping"" sound is a much happier one for the pilot.
","Sink Alarm
"
"1) Very high  2)a little speck in the sky  3)to feel really good as in: ""I was really skyed out!"" See also Specked Out
","Skyed out
"
"...or ""sled ride""...is when you launch your glider and find no lift, sinking all the way to the ground. The term is used by participants in all forms of gliding, whether hang gliding, paragliding, or sail-plane gliding. 
","Sledder
"
"When a pilot loses excessive altitude in a turn, due to not pushing out while turning (i.e. doesn't ""carve"" the turn). Loss of altitude due to a poorly or purposfully uncoordinated turn.  
","Slip
"
"An narrow area cleared of trees on an otherwise tree-covered mountain or ridge, allowing gliders to launch.
","Slot
"
"This is a term used to indicate that a glider got so high that they looked like a little speck.
","Specked Out
"
"This is a complicated subject, but there is an optimum speed to fly for any combination of sinking/lifting air and wind speed/direction. ""Optimum"" here means furthest glide over the ground. A sophisticated flight computer, with information from a GPS, can compute the wind speed. The flight computer itself measures the lift or sink. Knowing the glider's performance characteristics, the computer can tell the pilot what speed he should fly at to maximize his glide.
","Speed to Fly
"
" Devices to maintain a positive pitch momentum at all flight configurations. They are found on topless gliders that don't have a kingpost to attach luff lines to. Sprogs usually are rods that are connected to the leading edge tube and point back and slightly upward to limit the travel of the leading edge downward. Often sprogs can be adjusted and are part of tuning efforts. 
","Sprog(s)
"
", which see above. 
","S-SA
"
"
","SSA
"
"A combination of pitch angle and airspeed at which a glider can no longer continue flying.  When a stall occurs, the glider will pitch down to recover airspeed.
","Stall
"
"To hold the Base tube as far back as possible, maybe even balling up with your legs tucked into your chest. This causes the glider to accelerate to higher, even maximum speeds. This then results in a steepening glide angle (dive) and faster loss of altitude.
","Stuff the bar
"
"The lift of ground air into clouds.  Suck can be very dangerous.
","Suck
"
"Positioned horizontally, face or belly up. (Compare to , An alternate and less often-used position for flying a hang glider, with the pilot in a reclined seated position, feet forward, similar to a paraglider pilot position. The pilot is not truly horizontal as the name would suggest.
","Supine
"
"A flight with a pilot and a student.
","Tandem
"
"True Air Speed.  The actual air-speed of the aircraft, with corrections made for the indicator errors induced by the aircraft itself.
","TAS
"
"A bubble or column of warm rising air.  Pilots try to find these columns of rising air and stay within them to gain altitude.  
","Thermal
"
"A glider without a kingpost.  Topless gliders are generally advanced level gliders used for competitions and aerobatics due to their high performance and low drag.
","Topless
"
"To deploy your reserve parachute.
","Toss your laundry
"
"A small slope where beginners take their first, supervised flights, ranging from a few feet to hundreds.  After a long layoff, any pilot is well advised to take a few runs down the training hill to recover basic launch and landing skills.
","Training hill
"
